Epoch,,Training_MSE,Val_MSE,MME_MSE
1,,18.8927,31.0496,2.6074037708
2,,9.14797,11.055,2.6074037708
3,,6.77469,7.79556,2.6074037708
4,,5.82332,6.8468,2.6074037708
5,,5.26425,6.51256,2.6074037708
6,,4.88806,6.32903,2.6074037708
7,,4.60346,6.19708,2.6074037708
8,,4.37964,6.11762,2.6074037708
9,,4.18357,6.01151,2.6074037708
10,,4.00493,5.93606,2.6074037708
11,,3.8647,5.88364,2.6074037708
12,,3.726,5.79943,2.6074037708
13,,3.60148,5.73715,2.6074037708
14,,3.49406,5.66498,2.6074037708
15,,3.39084,5.61381,2.6074037708
16,,3.30254,5.59632,2.6074037708
17,,3.21793,5.52181,2.6074037708
18,,3.13989,5.46841,2.6074037708
19,,3.06569,5.42669,2.6074037708
20,,3.00243,5.36775,2.6074037708
21,,2.94111,5.33032,2.6074037708
22,,2.8826,5.29394,2.6074037708
23,,2.82374,5.27153,2.6074037708
24,,2.7648,5.23585,2.6074037708
25,,2.71651,5.2168,2.6074037708
26,,2.66558,5.18319,2.6074037708
27,,2.61953,5.17387,2.6074037708
28,,2.57481,5.12588,2.6074037708
29,,2.52772,5.09674,2.6074037708
30,,2.48968,5.06865,2.6074037708
31,,2.44204,5.04838,2.6074037708
32,,2.41321,5.02319,2.6074037708
33,,2.3708,5.01256,2.6074037708
34,,2.3367,4.98316,2.6074037708
35,,2.30195,4.96992,2.6074037708
36,,2.26633,4.94778,2.6074037708
37,,2.23227,4.93768,2.6074037708
38,,2.20075,4.90905,2.6074037708
39,,2.16883,4.88621,2.6074037708
40,,2.13995,4.87841,2.6074037708
41,,2.10861,4.87091,2.6074037708
42,,2.08109,4.85747,2.6074037708
43,,2.05389,4.8446,2.6074037708
44,,2.02752,4.8414,2.6074037708
45,,2.00089,4.83108,2.6074037708
46,,1.9752,4.81304,2.6074037708
47,,1.94984,4.80009,2.6074037708
48,,1.92739,4.78402,2.6074037708
49,,1.90491,4.78005,2.6074037708
50,,1.87887,4.76768,2.6074037708
51,,1.85995,4.76605,2.6074037708
52,,1.83861,4.75359,2.6074037708
53,,1.81735,4.74428,2.6074037708
54,,1.79571,4.72919,2.6074037708
55,,1.77401,4.72212,2.6074037708
56,,1.75784,4.71269,2.6074037708
57,,1.73795,4.69891,2.6074037708
58,,1.71921,4.68551,2.6074037708
59,,1.70237,4.68631,2.6074037708
60,,1.68443,4.67817,2.6074037708
61,,1.66764,4.67193,2.6074037708
62,,1.65181,4.6655,2.6074037708
63,,1.63303,4.65557,2.6074037708
64,,1.616,4.65406,2.6074037708
65,,1.60285,4.66528,2.6074037708
66,,1.5903,4.65392,2.6074037708
67,,1.57591,4.64215,2.6074037708
68,,1.55711,4.64271,2.6074037708
69,,1.54894,4.6381,2.6074037708
70,,1.53262,4.6322,2.6074037708
71,,1.51954,4.62267,2.6074037708
72,,1.50715,4.61298,2.6074037708
73,,1.49422,4.61372,2.6074037708
74,,1.4829,4.61228,2.6074037708
75,,1.4713,4.59527,2.6074037708
76,,1.45872,4.59439,2.6074037708
77,,1.44839,4.5999,2.6074037708
78,,1.43656,4.59804,2.6074037708
79,,1.42457,4.59658,2.6074037708
80,,1.41308,4.59301,2.6074037708
81,,1.40396,4.58595,2.6074037708
82,,1.39213,4.58242,2.6074037708
83,,1.38479,4.58781,2.6074037708
84,,1.3749,4.58611,2.6074037708
85,,1.365,4.58343,2.6074037708
86,,1.35336,4.57634,2.6074037708
87,,1.3458,4.57278,2.6074037708
88,,1.33674,4.56823,2.6074037708
89,,1.32597,4.5628,2.6074037708
90,,1.3192,4.55998,2.6074037708
91,,1.31076,4.55994,2.6074037708
92,,1.30282,4.56217,2.6074037708
93,,1.29378,4.56294,2.6074037708
94,,1.28535,4.56483,2.6074037708
95,,1.27649,4.55613,2.6074037708
96,,1.27052,4.55179,2.6074037708
97,,1.2621,4.54311,2.6074037708
98,,1.25282,4.54367,2.6074037708
99,,1.24805,4.55253,2.6074037708
100,,1.23988,4.54488,2.6074037708
101,,1.23296,4.53574,2.6074037708
102,,1.22394,4.5348,2.6074037708
103,,1.22056,4.53774,2.6074037708
104,,1.20882,4.5343,2.6074037708
105,,1.20618,4.53042,2.6074037708
106,,1.19902,4.52994,2.6074037708
107,,1.19358,4.52963,2.6074037708
108,,1.18654,4.52451,2.6074037708
109,,1.1799,4.51813,2.6074037708
110,,1.17461,4.52062,2.6074037708
111,,1.16762,4.51965,2.6074037708
112,,1.16075,4.5178,2.6074037708
113,,1.157,4.51801,2.6074037708
114,,1.15029,4.51958,2.6074037708
115,,1.14184,4.51447,2.6074037708
116,,1.13962,4.52141,2.6074037708
117,,1.1331,4.51607,2.6074037708
118,,1.12777,4.51214,2.6074037708
119,,1.12246,4.50684,2.6074037708
120,,1.1174,4.49825,2.6074037708
121,,1.11178,4.49715,2.6074037708
122,,1.10629,4.49698,2.6074037708
123,,1.10128,4.50025,2.6074037708
124,,1.09662,4.50223,2.6074037708
125,,1.09035,4.50138,2.6074037708
126,,1.08702,4.49422,2.6074037708
127,,1.08135,4.49092,2.6074037708
